xAcceleration,yAcceleration,zAcceleration,xVelocity,yVelocity,zVelocity,xPosition,yPosition,zPosition
1.11235306E-4,-4.4853054E-4,4.531145E-4,0.0,0.0,0.0,0.0,0.0,0.0
-1.327647E-4,-1.4353171E-4,3.310442E-4,-0.010872346,-0.29899144,0.39600015,-5.490535,-150.99068,199.98007
-1.9376472E-4,-2.6553124E-4,3.310442E-4,-0.33936095,-0.71050876,1.0620611,-357.82523,-1166.548,1666.7897
-1.0764721E-5,-3.2652915E-4,1.4817715E-4,-0.6476891,-1.6030397,1.7844872,-1845.8031,-4654.2227,5957.961
-3.1576472E-4,-2.1530315E-5,0.0016731024,-1.3035235,-2.302117,5.4425273,-5764.8135,-12497.73,20473.42
-6.817647E-4,4.6646968E-4,-1.5687943E-4,-3.8073223,-1.1853193,9.248247,-18593.035,-21251.195,57347.266
-7.427647E-4,2.2247061E-4,2.6106834E-5,-8.0965805,0.8890799,8.854491,-54435.688,-22143.172,111854.61
-4.9876474E-4,4.6646968E-4,-2.7883053E-4,-12.457453,3.3089828,7.9667993,-126631.73,-7397.4756,170939.39
-0.0014747648,3.946945E-5,-2.1791458E-4,-20.378214,5.3395696,5.973113,-258417.69,27313.488,226887.23
6.602354E-4,-4.4853054E-4,0.0010631084,-24.055815,3.4926586,9.789164,-459037.3,67191.0,298053.9
-4.9876474E-4,3.946945E-5,-2.1791458E-4,-23.245796,1.4406037,14.0290785,-696325.9,91938.71,417538.12
