Time Elapsed (seconds),xAcceleration (g),yAcceleration (g),zAcceleration (g),xVelocity (ft/s),yVelocity (ft/s),zVelocity (ft/s),xPosition (ft),yPosition (ft),zPosition (ft),xAngle Velocity d/s,yAngle Velocity d/s,zAngle Velocity d/s,xAngle Angle d,yAngle Angle d,zAngle Angle d
0.0,-1.949608E-4,3.1217933E-4,7.5900555E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.007,4.150392E-4,-9.6882135E-4,8.7976456E-5,0.003568065,-0.01064594,0.013731864,0.0017965207,-0.005360231,0.0069139935,0.0,0.0,0.0,1.10809466E-4,-3.3061925E-4,4.2645543E-4
2.009,7.200392E-4,1.2917817E-4,7.5900555E-4,0.021879377,-0.024191234,0.027395548,0.014545689,-0.022813657,0.02751883,0.0,0.0,0.0,6.7948375E-4,-7.512805E-4,8.5079344E-4
3.012,-1.949608E-4,-2.9782206E-4,6.3705444E-4,0.0303585,-0.026914546,0.049939543,0.040742986,-0.048443206,0.066302374,0.0,0.0,0.0,9.4281055E-4,-8.3585543E-4,0.0015509175
4.014,-0.0013539607,-4.198216E-4,-0.0010099411,0.005370993,-0.038491715,0.043924063,0.05864346,-0.08121174,0.11332803,0.0,0.0,0.0,1.6680104E-4,-0.0011953949,0.0013641013
5.017,5.9803925E-4,-2.9782206E-4,-9.4890594E-5,-0.0068358574,-0.05008044,0.026082905,0.05790883,-0.12563069,0.14843653,0.0,0.0,0.0,-2.1229367E-4,-0.0015552933,8.1002805E-4
6.019,-4.9996085E-4,-2.9782206E-4,0.0011860132,-0.005253637,-0.059689492,0.04368511,0.051851995,-0.18062542,0.1833903,0.0,0.0,0.0,-1.631564E-4,-0.001853711,0.0013566804
7.022,-1.3396078E-4,-5.382113E-5,6.3705444E-4,-0.015490392,-0.06536793,0.07312454,0.04144887,-0.24334171,0.24197033,0.0,0.0,0.0,-4.8106804E-4,-0.00203006,0.0022709486
8.025,-5.609608E-4,7.1786344E-6,-9.4890594E-5,-0.026712192,-0.066121124,0.08187956,0.020284276,-0.30928347,0.3197049,0.0,0.0,0.0,-8.2957116E-4,-0.002053451,0.0025428438
9.028,-1.1960794E-5,-4.8082136E-4,2.1004677E-4,-0.035963904,-0.07376965,0.08373914,-0.011147793,-0.3794387,0.40276268,0.0,0.0,0.0,-0.0011168914,-0.002290983,0.0026005947
10.03,-3.7796082E-4,-7.8582205E-4,3.9303303E-4,-0.0422542,-0.0942034,0.093468145,-0.050335057,-0.46359318,0.49154353,0.0,0.0,0.0,-0.0013122421,-0.0029255713,0.0029027376
